ip,nb_qm,nb_www,ratio_digits_url,phish_hints,nb_hyperlinks,domain_in_title,domain_age,google_index,page_rank
0,0,1,0.0,0,5,1,1778,1,1
0,0,0,0.0,0,0,1,258,1,0
0,0,0,0.007142857,2,9,1,1905,1,0
0,0,0,0.0,0,29,1,7297,0,5
0,0,0,0.0,0,41,1,4447,0,4
0,0,1,0.0,0,77,0,1205,0,3
0,0,0,0.057692308,1,0,1,5728,1,0
0,0,0,0.0,0,0,1,3731,1,2
0,0,1,0.208144796,0,0,1,7323,1,4
0,0,0,0.0,0,10,1,7765,1,2
0,0,0,0.02173913,1,77,0,6326,0,10
0,0,1,0.0,0,39,1,1270,0,3
0,0,0,0.0,2,47,1,-1,0,1
1,1,1,0.530751707999999,0,0,1,-1,1,0
1,0,1,0.08974359,0,158,1,7918,1,6
0,0,0,0.0,0,89,1,2504,0,5
0,0,1,0.0,0,406,0,-1,0,3
0,0,0,0.090909091,0,0,1,2772,1,1
0,0,0,0.0,0,820,0,7132,0,7
0,0,0,0.0,0,69,1,7616,0,5
0,0,0,0.0,0,34,1,7552,1,0
0,0,1,0.0,1,33,1,1974,1,1
0,0,1,0.0,0,3,1,3897,0,3
0,0,0,0.049019608,3,0,1,3632,1,0
0,0,0,0.046153846,0,22,1,5614,1,5
0,0,0,0.116883117,1,0,1,145,1,0
0,0,0,0.0,0,1,1,1877,1,0
0,0,0,0.0,0,273,0,6338,0,5
0,0,1,0.0,0,295,1,5837,0,4
0,0,0,0.0,0,4,1,2140,1,7
0,0,1,0.057971014,0,420,0,6318,0,6
0,0,0,0.083333333,0,27,1,6638,1,0
0,0,0,0.019230769,0,17,1,2817,1,0
0,0,0,0.0,0,805,1,7657,0,7
0,0,1,0.0,0,73,0,3541,0,2
0,0,1,0.0,0,587,1,7621,0,5
0,0,1,0.0,0,187,1,5738,0,6
1,1,0,0.150793651,0,51,1,3992,1,0
0,0,0,0.063829787,1,78,1,-1,1,0
0,1,1,0.0,0,13,1,2176,0,3
0,0,0,0.0,1,41,1,1192,1,3
0,0,1,0.0,0,180,0,8145,0,6
0,0,0,0.0,1,22,1,5627,1,5
1,0,1,0.079096045,4,87,1,4554,1,0
0,0,0,0.03030303,2,21,1,5616,1,5
0,0,1,0.0,0,31,1,-1,0,4
0,0,1,0.0,0,253,0,7907,0,7
0,0,0,0.169491525,0,0,1,454,1,0
0,0,1,0.0,0,56,1,2658,0,4
0,1,0,0.048780488,1,10,0,8348,1,10
0,0,1,0.0,0,152,1,8018,0,3
0,1,0,0.023255814,0,24,1,35,1,0
0,0,0,0.13559322,0,4,1,1834,1,0
0,0,0,0.0,0,180,1,3210,1,2
0,0,0,0.058823529,0,0,1,142,1,0
0,0,1,0.0,0,33,1,1514,0,3
0,0,0,0.0,1,168,1,3715,1,4
0,1,0,0.01754386,2,1,0,8348,0,10
1,1,0,0.125,0,51,1,3993,1,0
0,0,1,0.053571429,0,103,1,6831,1,0
0,0,1,0.0,3,192,1,2345,1,0
0,0,0,0.058823529,0,23,1,2314,1,0
0,0,1,0.0,0,403,1,3846,0,2
0,0,1,0.0,0,12,1,392,0,4
1,1,0,0.23183391,0,19,1,8018,1,4
0,0,0,0.0,0,9,1,7534,1,0
0,0,0,0.0,0,484,0,8596,0,2
1,0,0,0.389830508,0,0,1,4942,1,0
0,0,1,0.0,0,192,1,-1,0,3
0,0,1,0.0,0,63,1,5345,0,5
0,0,1,0.0,0,231,0,-1,1,4
0,0,0,0.0,0,37,1,1369,1,0
0,0,1,0.0,0,141,1,6821,0,3
0,0,0,0.0,0,103,1,7057,1,2
0,0,0,0.0,0,9,1,-1,1,3
0,0,0,0.0,0,222,1,8217,0,8
1,1,0,0.044,1,43,1,834,1,1
0,0,1,0.0,0,211,0,7838,0,5
0,0,0,0.08,0,3148,0,7133,0,7
0,0,0,0.0,0,323,0,7131,0,7
0,0,0,0.0,0,3,1,7861,1,4
1,0,0,0.076086957,0,380,1,6057,0,8
0,0,1,0.0,0,164,1,5887,0,6
0,0,1,0.115384615,0,55,1,2051,0,3
0,0,1,0.0,0,71,1,6318,0,4
0,0,0,0.0,2,1,0,8347,1,10
0,0,0,0.038961039,0,110,0,6168,0,5
1,1,0,0.219178082,3,22,1,778,1,1
0,0,1,0.0,0,213,0,7841,0,5
0,0,1,0.0,0,22,1,5627,1,5
0,0,1,0.0,0,75,1,4526,0,5
0,0,1,0.0,1,0,1,2722,1,0
1,0,0,0.220588235,0,51,1,3993,1,0
0,0,0,0.0,0,30,1,-1,1,0
0,0,0,0.041666667,0,18,0,5509,1,2
0,0,0,0.133333333,0,56,1,-1,1,4
0,0,1,0.0,0,42,1,7477,0,0
0,0,1,0.0,0,78,1,-1,0,3
0,0,0,0.028571429,0,7,1,2839,1,2
0,0,0,0.0,0,0,1,837,1,2
0,0,0,0.142857143,0,11,1,-1,1,9
0,0,0,0.117647059,0,0,1,11425,0,4
0,0,1,0.0,0,109,0,8440,0,7
1,1,0,0.209219858,0,11,1,8018,1,4
0,1,0,0.131578947,0,372,0,3806,0,3
0,0,0,0.0,0,1,1,147,1,0
0,0,1,0.0,1,4,1,2996,1,0
0,0,1,0.0,0,31,1,2480,1,1
0,0,0,0.0,0,0,1,6315,1,0
0,0,1,0.094339623,0,22,1,5627,1,5
0,0,0,0.066666667,0,56,1,-1,1,4
0,0,0,0.158730159,0,0,1,2783,1,2
0,0,1,0.039215686,0,52,1,-2,1,5
1,0,0,0.188405797,0,21,1,5627,1,5
0,0,1,0.0,0,212,1,7371,0,3
0,0,0,0.203703704,0,22,1,5627,1,5
0,0,0,0.0,0,76,1,5160,0,8
0,0,1,0.0,0,32,1,975,0,0
0,0,1,0.0,0,30,1,4489,0,0
0,0,1,0.0,0,285,0,9184,0,5
0,0,0,0.0,0,1,1,-1,1,2
0,0,0,0.041666667,2,48,1,1546,1,2
1,0,0,0.221153846,0,31,0,1016,1,2
0,0,0,0.032258065,0,14,1,7295,1,5
0,0,1,0.0,0,231,0,1951,0,2
1,0,0,0.159090909,4,30,1,-1,1,0
0,0,1,0.0,0,229,1,2051,0,2
0,0,1,0.0,0,101,0,6321,0,5
0,0,1,0.0,0,0,1,12844,0,6
1,0,0,0.283185841,0,4,1,1834,1,0
0,0,0,0.0,0,0,1,25,1,0
0,0,0,0.090909091,0,21,1,5616,1,5
0,0,1,0.0,0,4,1,-1,1,0
0,0,1,0.0,0,56,1,5219,0,4
0,0,0,0.0,0,332,1,3378,0,5
0,0,0,0.0,0,15,1,1759,0,2
1,0,0,0.294117647,0,18,1,5626,1,5
0,0,0,0.047619048,0,19,0,1132,0,3
0,0,0,0.0,1,11,1,4490,0,3
0,0,1,0.0,0,335,0,5826,0,5
0,0,0,0.079365079,0,53,0,11046,0,6
0,0,0,0.03030303,3,1,1,211,1,0
0,0,1,0.0,0,24,1,7402,0,6
0,0,0,0.0,0,100,1,-1,0,2
0,0,0,0.0,0,6,0,7412,1,2
0,0,0,0.0,0,29,1,4912,0,2
0,0,0,0.0,1,122,1,-1,1,1
0,0,0,0.098039216,0,83,1,5613,1,5
0,0,1,0.0,0,177,1,6977,0,4
0,0,0,0.0,0,97,1,5415,0,6
1,0,0,0.5,0,13,1,-1,1,0
0,0,0,0.0,0,26,1,5160,0,8
0,0,1,0.0,0,166,0,8148,0,6
0,0,1,0.0,1,90,1,5118,0,5
0,0,0,0.0,0,0,1,-1,1,2
0,0,0,0.0,0,52,1,7815,1,6
1,1,0,0.141732283,0,51,1,3992,1,0
0,0,1,0.073684211,0,181,1,8609,1,5
1,0,0,0.177777778,0,100,1,7159,1,3
0,0,0,0.0,0,22,0,711,0,2
0,0,0,0.101010101,0,0,1,7446,1,8
0,0,0,0.078947368,0,3,1,189,1,2
0,0,1,0.0,0,39,0,4826,1,4
0,0,0,0.0,0,48,0,8966,0,8
0,0,0,0.0,0,68,0,7275,0,4
0,0,1,0.027027027,0,103,1,7189,1,1
0,0,0,0.0,1,8,1,127,1,0
0,0,1,0.262773723,0,74,0,4162,1,5
0,0,1,0.0,0,139,0,3916,0,1
0,0,1,0.020408163,2,1251,1,7430,0,7
1,1,0,0.488888889,0,0,1,3378,1,4
0,0,0,0.0,0,66,1,4924,0,4
0,0,1,0.058823529,3,0,1,-1,1,2
0,0,0,0.074074074,0,23,1,2333,1,0
0,0,1,0.0,0,210,1,-1,0,1
0,1,0,0.0,0,4,1,5622,1,1
0,0,0,0.130136986,0,21,1,5616,1,5
0,0,1,0.0,0,189,0,1137,0,3
0,0,1,0.018181818,1,1,1,2877,1,2
0,0,0,0.139534884,0,154,1,7160,1,3
0,0,0,0.0,0,200,1,-1,1,0
0,0,1,0.050632911,0,41,1,3040,0,4
1,1,0,0.371559633,4,6,1,-1,1,0
0,0,1,0.0,0,253,0,5885,0,6
0,0,1,0.091954023,0,0,1,8733,1,3
0,0,1,0.0,0,20,1,2539,0,5
1,1,1,0.148760331,0,51,1,3992,1,0
0,0,1,0.0,0,102,0,2038,0,3
0,0,1,0.0,0,218,1,7689,0,3
1,0,0,0.365079365,0,48,1,-1,1,0
0,0,0,0.0,0,27,1,4,1,0
1,0,0,0.242857143,0,0,1,5627,1,5
0,0,0,0.0,0,49,1,2805,1,4
0,0,0,0.0,0,0,1,2215,1,2
1,1,1,0.305084746,0,0,1,-1,1,0
0,0,0,0.111111111,0,28,1,54,1,0
0,0,1,0.0,0,14,0,-1,0,0
0,0,1,0.0,0,109,1,5208,0,5
0,0,0,0.0,5,36,1,-1,1,0
0,0,1,0.0,1,123,0,5882,1,5
1,1,1,0.3099631,3,216,1,4096,1,3
0,0,1,0.0681818179999999,0,110,0,6991,0,5
0,0,0,0.0,0,39,1,2411,1,0
0,0,0,0.0,0,0,1,797,1,2
0,0,1,0.0,0,17,0,7420,1,7
0,0,1,0.0,0,7,1,-1,0,3
0,0,1,0.0,0,23,1,-1,1,1
0,0,0,0.0808080809999999,1,27,1,8348,1,10
0,0,1,0.0,0,118,1,-1,0,2
0,0,0,0.0,1,47,1,-1,1,1
0,1,0,0.012048193,3,185,1,495,1,2
0,0,1,0.0,0,184,1,7732,0,4
0,0,1,0.0,0,301,1,5595,0,4
0,0,1,0.051724138,3,85,1,-1,1,2
0,0,1,0.0,0,35,0,3057,1,5
0,0,1,0.0,0,19,1,6673,0,2
0,0,0,0.15,0,232,1,1546,1,2
0,0,1,0.0,0,58,0,4627,0,6
0,0,0,0.018181818,3,21,1,5616,1,5
0,0,1,0.0,0,278,1,8519,0,6
0,0,0,0.0,0,26,1,5215,0,4
0,0,0,0.0,0,32,1,5000,0,6
1,0,0,0.242857143,0,0,1,5626,1,5
0,0,0,0.0,0,90,0,7133,0,7
0,0,1,0.0,2,4,1,1523,1,0
0,0,0,0.0,0,60,1,7297,1,5
0,0,1,0.0,1,0,1,-1,0,6
0,1,0,0.0,0,97,0,8348,0,10
0,0,1,0.0,0,162,0,-1,0,3
0,0,1,0.0,0,20,1,1759,0,2
0,0,0,0.0,0,14,1,7295,1,5
0,0,1,0.0,0,38,0,5197,1,6
1,0,1,0.259259259,0,0,1,534,1,1
0,0,1,0.0,0,76,1,3927,0,2
0,0,0,0.0,0,0,1,-1,1,0
0,0,1,0.0,0,12,1,2406,0,4
0,1,0,0.085365854,1,10,0,8348,0,10
0,0,0,0.204545455,0,4,1,184,1,0
0,0,0,0.0,1,0,1,4633,1,0
0,0,1,0.035714286,0,211,1,6669,1,5
1,1,0,0.372881356,5,10,1,3047,1,1
0,0,1,0.0,0,109,1,5525,0,4
1,0,0,0.13253012,0,190,1,6598,0,7
0,0,1,0.0,0,55,0,2388,0,6
0,0,1,0.0,0,79,1,4177,0,2
0,0,0,0.0,0,19,0,-1,0,1
1,0,0,0.218390805,3,57,1,244,1,0
0,0,1,0.0,1,9,0,5514,0,4
0,0,1,0.048076923,2,132,1,1706,1,2
0,0,1,0.0,0,18,1,7529,0,5
0,0,1,0.0,0,185,1,6260,0,6
0,0,1,0.0,0,383,1,2971,0,1
0,0,0,0.026315789,0,108,1,1017,1,0
0,0,0,0.111111111,0,33,1,7296,1,5
0,0,1,0.0,0,304,1,5115,0,4
0,0,1,0.069444444,0,128,1,2783,0,5
0,0,1,0.0,0,306,0,9189,0,5
1,0,0,0.161764706,0,4,1,4003,1,0
0,0,1,0.0,0,181,1,8095,0,4
0,0,0,0.0,0,273,0,5378,0,4
1,0,0,0.156862745,2,20,1,2370,1,0
0,0,0,0.052631579,0,39,1,625,1,0
0,0,0,0.050505051,1,30,1,8347,1,10
1,1,0,0.431924883,2,31,0,1015,1,2
0,0,0,0.047619048,0,56,0,-1,0,5
0,0,1,0.0,0,85,0,-1,0,1
0,0,1,0.1,0,89,1,9690,0,5
0,0,1,0.0,0,121,1,1297,0,0
0,0,1,0.035087719,0,247,0,7839,1,6
1,1,0,0.060606061,0,9,1,7764,0,5
0,0,0,0.081395349,0,73,0,3789,0,3
0,0,1,0.047619048,0,0,1,8872,1,4
0,0,0,0.1,0,118,1,4057,0,5
1,1,0,0.133858268,0,51,1,3993,1,0
0,0,1,0.0,0,61,1,9897,0,8
0,0,0,0.022727273,0,44,1,6974,0,4
0,0,1,0.0,0,51,1,3751,0,4
0,0,1,0.0,0,324,1,8075,0,4
0,0,0,0.0,0,20,1,885,1,0
0,0,1,0.0,0,132,1,6372,0,3
0,0,1,0.0,0,12,1,-1,0,3
1,0,1,0.196078431,0,43,1,2739,0,6
0,0,1,0.0,0,53,1,5184,0,4
0,1,1,0.0,0,124,0,7618,0,2
0,1,0,0.079646018,1,27,1,8346,1,10
1,0,1,0.170454545,0,36,1,-1,1,0
1,0,0,0.155339806,3,88,1,2046,1,0
0,0,0,0.038461538,1,1,1,973,1,2
0,0,0,0.0,0,0,1,4633,1,0
0,0,1,0.0,0,1,0,-1,0,5
0,0,0,0.0,0,1,1,238,1,0
0,0,1,0.105263158,0,62,0,7268,1,4
0,0,0,0.148148148,0,58,0,7826,1,6
0,0,0,0.0,0,68,1,8181,1,4
0,0,0,0.0,0,0,1,5621,1,1
0,0,1,0.0,4,1,1,5062,1,1
0,1,0,0.0,2,42,1,-1,1,0
0,0,1,0.012195122,0,156,1,5133,0,7
0,0,1,0.025974026,0,59,1,7831,0,6
0,1,0,0.036764706,3,22,1,778,1,1
1,0,0,0.288135593,1,0,1,3763,1,1
0,0,1,0.0,0,93,1,2313,0,2
0,0,1,0.032258065,0,60,1,-1,1,2
1,1,1,0.273764259,3,74,1,4097,1,3
0,0,1,0.0,0,19,1,3200,1,4
0,0,1,0.0,0,16,1,6995,0,4
0,0,0,0.0,2,18,1,8347,1,10
0,0,1,0.0,0,11,1,3071,0,4
0,0,0,0.06122449,0,22,1,5614,1,5
0,1,0,0.0,0,22,1,2647,0,1
0,0,0,0.0,2,1,0,8348,1,10
0,0,1,0.0,0,0,1,49,1,0
0,0,1,0.033898305,0,0,1,11271,0,5
0,0,0,0.0,0,142,0,1002,0,2
0,0,1,0.0,0,203,1,3546,0,5
0,0,1,0.0,0,1,1,3448,1,1
0,0,1,0.0,0,184,0,3208,0,5
0,0,1,0.054054054,3,0,1,1639,1,0
0,0,1,0.0,0,289,1,8466,0,5
1,0,1,0.074766355,0,181,0,6075,0,6
0,1,0,0.095238095,1,10,0,8347,1,10
0,0,1,0.0,0,153,0,3016,0,3
0,1,1,0.105263158,1,4,1,4088,1,3
0,0,1,0.0,0,147,0,8759,0,5
1,0,0,0.396226415,0,0,1,-1,1,2
0,0,1,0.0,0,0,1,-1,1,2
0,0,0,0.0,0,101,1,7616,0,5
0,0,0,0.126984127,0,162,1,5484,0,7
0,0,1,0.0,0,45,1,-1,0,6
0,0,0,0.085714286,0,22,1,7298,1,5
0,0,0,0.0,0,7,1,1015,1,4
0,0,1,0.021276596,0,87,1,6134,0,5
0,0,0,0.0,0,247,1,2428,1,4
0,0,1,0.0,0,65,1,2221,0,4
0,0,0,0.023255814,0,96,0,2344,1,2
0,0,0,0.0,0,14,1,7295,1,5
0,0,0,0.0,3,0,0,4216,0,0
0,0,0,0.1,0,14,1,7295,1,5
0,0,1,0.042253521,1,324,1,4971,0,5
0,0,0,0.295081967,0,4,1,1834,1,0
1,0,0,0.196078431,0,5,1,3229,1,0
0,0,1,0.0,0,55,0,5635,0,10
1,1,2,0.295081967,0,0,1,7489,1,7
0,1,0,0.053030303,0,26,1,8019,1,4
0,0,0,0.121212121,0,38,1,1953,1,3
0,0,0,0.095238095,0,69,1,7156,1,3
0,0,0,0.0,0,14,1,7295,1,5
0,0,0,0.0,0,193,1,7298,0,5
0,0,1,0.0,1,21,1,-1,1,1
0,0,1,0.0,0,11,1,2221,0,2
1,1,1,0.134146341,2,23,1,4284,1,1
1,1,0,0.1484375,0,4,1,4003,1,0
0,0,0,0.0,0,259,1,-1,1,2
0,0,0,0.0,0,49,0,-1,0,3
0,0,0,0.0,0,0,1,3310,1,0
0,0,1,0.0,0,177,0,2695,0,1
0,0,0,0.0,0,11,1,4049,1,2
1,0,1,0.224043716,0,7,1,216,1,0
0,0,0,0.0,0,66,0,-1,0,1
0,1,0,0.0,0,24,1,4663,1,0
1,1,1,0.193548387,0,4,1,4003,1,0
0,0,1,0.076923077,1,45,1,2114,1,1
1,1,1,0.222972973,1,4,1,870,1,0
0,0,0,0.0,0,353,0,7129,0,7
0,0,1,0.03125,0,55,0,5638,0,10
0,0,1,0.0,0,27,1,3250,1,4
0,0,0,0.0,0,5,1,2837,1,2
1,1,0,0.155462185,1,1,0,8346,0,10
0,1,0,0.024096386,1,10,0,8348,1,10
0,0,1,0.0,0,10,1,6667,1,3
0,0,1,0.0,0,283,1,3303,0,2
1,0,1,0.257731959,2,22,1,2300,1,2
0,0,0,0.0,0,27,1,5159,0,8
0,0,1,0.0,0,31,1,6591,0,4
1,2,1,0.047979798,3,21,1,-1,1,0
0,1,1,0.0,1,0,1,5682,1,0
1,1,0,0.186440678,2,17,1,495,1,0
0,0,0,0.058823529,0,28,1,7309,0,5
0,0,0,0.0,0,18,0,4624,0,5
0,0,0,0.0,0,0,1,167,1,0
0,0,1,0.117647059,0,24,1,7530,1,4
1,1,0,0.1484375,0,51,1,3993,1,0
0,0,0,0.06779661,1,4,1,3318,1,0
0,0,0,0.056818182,0,182,0,5979,1,5
0,0,1,0.0,0,124,0,9205,0,6
0,0,1,0.0,3,4,1,11,1,0
0,0,1,0.0,0,98,1,-1,0,3
1,0,1,0.398773006,1,31,1,-1,1,0
0,0,0,0.008928571,2,0,1,5438,1,1
1,1,0,0.184,0,51,1,3992,1,0
0,0,1,0.0,0,39,0,7535,0,5
0,0,0,0.107142857,0,7,0,1152,1,4
0,0,0,0.021276596,2,205,1,3442,1,0
0,0,1,0.0,0,39,1,5310,0,5
0,0,1,0.0,1,30,1,-2,1,3
0,0,1,0.0821917809999999,0,416,0,7002,1,4
0,0,1,0.0,0,144,1,-1,0,0
0,0,0,0.0,0,29,1,213,1,0
0,0,1,0.0,0,77,1,-1,0,4
0,0,1,0.0,0,1130,1,7759,0,3
0,0,1,0.0,0,24,1,7495,0,4
0,0,1,0.016949153,0,43,1,4717,0,3
0,0,0,0.0,0,135,1,-1,0,5
1,1,0,0.170289855,0,23,1,7154,1,3
0,0,1,0.0,0,65,0,8896,0,4
0,1,0,0.0,0,11,1,2191,1,5
0,1,0,0.0,1,1,1,-1,1,2
0,0,0,0.139534884,0,159,1,7160,1,3
1,0,0,0.102941176,0,51,1,3992,1,0
0,0,1,0.0,0,107,1,9173,0,5
0,0,1,0.0,0,57,1,-1,0,4
1,0,0,0.137931034,0,7,1,7296,1,5
0,0,0,0.14084507,0,0,1,507,1,0
0,0,1,0.0,0,49,1,5001,0,3
0,0,1,0.0,0,258,1,3094,1,3
0,0,0,0.0,0,781,0,7133,0,7
0,0,1,0.0,0,162,1,1109,0,0
0,0,0,0.0,1,7,1,-1,1,1
0,0,0,0.025974026,0,72,1,9399,0,9
1,0,0,0.238095238,0,77,1,4238,0,5
0,0,1,0.0,2,1,1,-1,1,0
0,0,0,0.0,0,0,1,-1,1,2
0,0,0,0.205882353,0,4,1,1375,1,0
0,0,0,0.0,0,880,0,2850,0,2
0,0,0,0.073170732,0,0,1,7446,1,8
1,1,1,0.125,4,2,1,-1,1,0
0,0,1,0.045454545,0,188,1,6904,1,5
0,0,1,0.0,0,27,1,7,1,0
0,0,0,0.0,0,7,1,-1,0,2
0,0,0,0.0,0,12,1,7253,1,1
1,1,0,0.125,0,51,1,3993,1,0
0,0,0,0.0,0,180,0,7130,1,7
0,0,1,0.0,0,33,1,2105,0,0
0,0,1,0.0,0,167,1,-1,0,4
0,1,0,0.045454545,1,6,1,1086,1,0
0,0,0,0.0,0,13,1,3000,0,2
0,0,1,0.035714286,0,53,1,8519,0,10
0,0,0,0.0,0,0,1,-1,1,2
0,0,0,0.117647059,0,87,1,7967,1,1
0,1,2,0.036697248,1,1,1,3018,1,3
0,0,1,0.0,0,83,1,-1,0,4
0,0,1,0.0,0,129,0,7169,0,2
0,0,1,0.0,0,65,1,7530,0,5
1,0,0,0.212765957,0,21,1,5616,1,5
0,1,0,0.0,0,22,1,-1,1,0
0,0,0,0.0,0,100,0,7132,0,7
1,0,0,0.102564103,0,1,1,7086,1,3
0,0,0,0.0,0,3,1,6982,0,0
0,1,0,0.0,2,4,1,2248,1,0
0,0,0,0.0,0,686,0,7133,0,7
0,0,1,0.0,0,11,0,2532,0,4
0,0,1,0.0,0,325,0,7753,0,4
1,0,0,0.257575758,0,18,1,5627,1,5
0,0,1,0.019230769,0,69,0,8970,1,5
0,0,0,0.0,0,31,0,1015,1,2
1,0,0,0.195652174,2,21,1,5626,1,5
0,0,0,0.126984127,0,8,0,1337,1,6
1,0,1,0.18556701,3,83,0,-1,1,2
0,0,0,0.0,0,0,1,-1,1,2
0,1,0,0.041958042,0,0,1,7211,1,2
1,0,0,0.257575758,0,18,1,5627,1,5
0,0,1,0.038461538,0,34,1,5682,0,4
1,1,0,0.220338983,0,51,1,3993,1,0
1,1,0,0.1796875,0,51,1,3993,1,0
1,0,0,0.104651163,0,0,1,5627,1,5
0,0,1,0.0,0,59,0,8165,0,4
0,0,1,0.05,0,6,1,-1,0,3
0,0,0,0.0,0,51,1,5160,0,8
0,0,1,0.0,0,26,1,2467,0,4
0,0,1,0.0,0,62,0,8658,0,4
0,0,1,0.170731706999999,0,126,0,4861,0,3
0,0,0,0.01754386,0,23,1,-1,1,0
0,0,1,0.08,0,80,1,9133,0,7
0,0,0,0.01754386,0,17,1,1794,1,0
0,0,1,0.0,0,147,0,8517,0,10
0,0,0,0.0,0,13,1,261,1,0
0,1,0,0.038095238,0,26,1,8019,1,4
0,0,0,0.0,0,0,1,-1,1,1
0,0,1,0.0,0,105,1,-1,0,4
0,0,0,0.0,0,60,1,7127,0,8
0,0,1,0.0,0,19,0,-1,0,3
0,0,0,0.0,0,81,1,-1,0,2
0,0,1,0.0,0,0,1,-1,0,6
1,0,0,0.235294118,0,18,1,5990,1,4
0,0,1,0.017857143,0,266,1,3858,0,3
0,0,0,0.206185567,2,41,1,5729,0,3
0,0,1,0.0,0,507,0,4527,0,2
0,0,1,0.0,0,115,1,4544,0,5
0,0,1,0.0,0,167,0,7325,0,3
0,0,1,0.0,0,42,1,-1,1,3
0,0,0,0.033333333,0,151,1,7122,1,4
1,1,0,0.203125,0,51,1,3993,1,0
0,0,0,0.0,0,15,1,8350,0,10
0,0,1,0.051282051,0,640,0,7791,0,8
1,1,0,0.203125,0,51,1,3993,1,0
0,0,1,0.261744966,0,37,0,6348,1,2
0,0,1,0.0,1,86,0,1048,1,0
0,0,0,0.0,0,73,0,7653,1,6
0,0,1,0.0,1,320,1,6196,0,5
0,0,1,0.0,0,117,1,2024,0,2
0,0,1,0.0,0,193,0,5887,0,6
0,0,0,0.087912088,0,13,1,3815,1,2
0,0,0,0.028571429,0,14,1,7295,1,5
0,0,0,0.0,0,38,1,-1,0,4
0,0,0,0.0,0,204,0,8233,0,5
0,0,1,0.0,0,106,0,-1,0,5
0,0,0,0.083333333,0,0,1,75,1,0
0,0,0,0.0,0,12,1,5193,1,0
0,0,0,0.0,0,28,0,2881,1,4
0,0,1,0.0,0,11,1,4165,0,0
0,0,0,0.0,0,62,0,7830,0,5
0,0,0,0.0,0,15,1,6342,1,7
0,0,0,0.170731706999999,0,33,1,1546,1,2
0,0,0,0.047619048,0,24,1,3154,1,7
1,0,0,0.240740741,0,0,1,4377,1,1
0,0,1,0.0,0,734,0,3192,0,3
0,0,0,0.0,0,119,0,8516,1,10
0,0,0,0.03030303,0,0,1,0,1,0
0,0,0,0.0,0,17,0,4465,0,7
0,0,1,0.0,0,168,1,6179,0,2
0,0,1,0.0,0,273,0,2466,0,3
